ABCA1	MED1
ABCA1	NCOA1
ABCA1	NCOA2
ABCA1	NCOA6
ABCA1	NR4A1
ABCA1	PPARA
ABCA1	RXRA
ABCA1	SMARCD3
ABCA1	TBL1X
ABCA1	TBL1XR1
ABCA1	TGS1
ABCA10	ABCA12
ABCA10	ABCA2
ABCA10	ABCA3
ABCA10	ABCA6
ABCA10	ABCA9
ABCA10	ABCG4
ABCA10	ABCG5
ABCA10	ABCG8
ABCA12	ABCA2
ABCA12	ABCA3
ABCA12	ABCA6
ABCA12	ABCA9
ABCA12	ABCG4
ABCA12	ABCG5
ABCA12	ABCG8
ABCA2	ABCA3
ABCA2	ABCA6
ABCA2	ABCA9
ABCA2	ABCG4
ABCA2	ABCG5
ABCA2	ABCG8
ABCA3	ABCA6
ABCA3	ABCA9
ABCA3	ABCG4
ABCA3	ABCG5
ABCA3	ABCG8
ABCA3	ESR1
ABCA4	DHRS3
ABCA4	HSD17B1
ABCA4	RDH12
ABCA4	RDH8
ABCA6	ABCA9
ABCA6	ABCG4
ABCA6	ABCG5
ABCA6	ABCG8
ABCA7	APOA1
ABCA9	ABCG4
ABCA9	ABCG5
ABCA9	ABCG8
ABCB1	ARNT
ABCB1	EP300
ABCB1	HIF1A
ABCB1	MAPK8
ABCB1	MIR451A
ABCB1	RPA1
ABCB1	SLC22A1
ABCB1	SLC22A2
ABCB1	SLC22A3
ABCB1	SP1
ABCB1	TAF1
ABCB1	TP53
ABCB10	ABCG2
ABCB10	FLVCR1
ABCB10	HMOX1
ABCB10	HMOX2
ABCB11	BAAT
ABCB11	NR1H4
ABCB4	CARM1
ABCB4	CHD9
ABCB4	CREBBP
ABCB4	HELZ2
ABCB4	MED1
ABCB4	NCOA1
ABCB4	NCOA2
ABCB4	NCOA6
ABCB4	NR1H4
ABCB4	PPARA
ABCB4	RXRA
ABCB4	SMARCD3
ABCB4	TBL1X
ABCB4	TBL1XR1
ABCB4	TGS1
ABCB7	ABCG2
ABCB7	FLVCR1
ABCB7	HMOX1
ABCB7	HMOX2
ABCB7	NUBP1
ABCB7	NUBP2
ABCB8	ABCG2
ABCB8	FLVCR1
ABCB8	HMOX1
ABCB8	HMOX2
ABCC1	ALOX5
ABCC1	ALOX5AP
ABCC1	GGT1
