"","","-","-","-","-","MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7","MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7","MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7","MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7"
"","","-","-","TNFA","TNFA","TNFA","TNFA","-","-"
"","","-","TOP2B","TOP2B","-","-","TOP2B","TOP2B","-"
"-","-","0.115128240065049","0.201374818806055","1","1","1","1","0.337586867763357","0.507322174138292"
"-","JAK1;JAK2","0.519548289332248","0.315085554737503","1","1","1","1","0.357804803493234","0.553342284352208"
"AR","JAK1;JAK2","0.622254409839712","0.388432414821014","1","1","1","1","0.410048734696882","0.583943664605905"
"AR","-","0.645146425113301","0.37204293050711","1","1","1","1","0.399098779233346","0.596822739660637"
