Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
TXNL4A,10,-3.205,8.18E-05,-4.542,3.04E-05,-4.235,1.25E-05,-3.592,2.50E-05
TXNL4B,9,-0.657,0.4979030531,-1.023,0.613000546,-1.218,0.0833092388,-1.071,0.2643481682
TXNRD1,10,-0.882,0.1689120578,-1.061,0.054673808,-2.147,0.0095695885,-0.084,0.8297815832
TXNRD2,10,-0.130,0.9098793527,-2.858,0.0003077859,-0.333,0.9987868647,-0.220,0.9250139829
TXNRD3NB,10,-0.107,0.6551550947,-0.334,0.6487107635,0.033,0.7652883238,0.393,0.275522006
TYK2,9,-0.088,0.8808209186,-0.243,0.8712161561,-0.213,0.7053355625,-0.372,0.8262590526
TYMP,9,-0.150,0.8838570417,-0.152,0.9054437919,0.122,0.7469823674,0.065,0.8024460199
TYMS,10,-2.600,0.0001479797,-1.493,0.0035088453,-1.525,9.13E-05,0.066,0.5985182225
TYR,9,0.355,0.1619607738,0.383,0.2788586782,0.223,0.5430282555,0.493,0.024888936
TYRO3,10,-0.926,0.0077806309,-1.174,0.3238542951,-0.019,0.9665405266,-0.445,0.3156596492
TYROBP,9,-0.138,0.9200410473,-0.700,0.961463091,0.165,0.7412028432,-0.156,0.9955170407
TYRP1,10,-0.014,0.7668263927,0.328,0.1004863396,0.245,0.3734375336,-0.086,0.9823127609
TYSND1,9,-0.246,0.6184338065,-0.832,0.1123521093,-0.099,0.9999813664,-0.591,0.7641744489
TYW1,8,0.122,0.407066863,0.271,0.2239902842,0.409,0.5558792349,-0.246,0.6995317777
TYW3,10,0.214,0.1390333903,0.214,0.3220264372,-0.041,0.8462734605,0.200,0.6159853708
TYW5,10,0.085,0.6119792878,0.180,0.0852742611,0.133,0.3008048556,0.137,0.1551703585
U2AF1,9,-2.136,0.0108196748,-2.592,0.009311459,-2.612,0.0001152174,-2.300,0.0013508264
U2AF1L4,9,-0.087,0.9541119458,-0.153,0.7813135939,0.045,0.8860024848,-0.076,0.6830340751
U2AF2,10,-2.761,0.0002145887,-3.105,0.0016443555,-3.113,1.65E-05,-2.227,6.03E-05
U2SURP,10,-1.092,0.057133009,-1.144,0.0336837041,-1.881,0.0011047993,-1.406,0.0010316014
UACA,10,-0.226,0.7009957659,0.421,0.02486059,0.332,0.2121685592,0.210,0.5428484289
