Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
A1BG,9,0.136,0.6259494932,-0.220,0.9519883685,0.096,0.6308998022,-0.191,0.670542296
A1CF,7,-0.058,0.7422938965,-0.984,0.1003742653,0.217,0.3862470183,-0.222,0.8973051847
A2M,10,-0.100,0.8739287881,-0.520,0.837711758,0.220,0.2204488741,-0.305,0.8831795901
A2ML1,10,-0.403,0.4612678897,-0.646,0.5790335117,-0.385,0.6515634479,-0.439,0.9665378958
A4GALT,10,-0.103,0.9949640242,-0.582,0.6956754856,0.015,0.2522699132,-0.488,0.5380368483
A4GNT,9,0.078,0.6607653973,0.028,0.6121882128,-0.134,0.9999813664,-0.064,0.9554801326
AAAS,9,-1.037,0.4007669192,-1.910,0.048685567,-0.767,0.4565658851,-0.349,0.7358467108
AACS,8,0.139,0.5529351279,-0.152,0.7926575262,0.245,0.4694686458,0.350,0.1240701902
AADAC,10,0.060,0.5644929456,0.261,0.1497860425,0.338,0.4652518903,-0.022,0.8663122053
AADACL2,10,0.477,0.0817373673,0.599,0.0020977098,0.133,0.6170762333,0.242,0.6018253617
AADACL3,10,0.043,0.8340100254,-0.136,0.9325208388,-0.074,0.7599956822,-0.147,0.9638316377
AADACL4,10,0.106,0.4205574651,-0.495,0.4416918938,0.162,0.7970912168,0.102,0.795652226
AADAT,10,0.150,0.5669662959,0.673,0.0016443555,0.167,0.5742388609,0.445,0.0957271195
AAED1,8,-0.317,0.8732275018,-0.039,0.9388698874,-0.178,0.9280856402,0.152,0.3110597166
AAGAB,9,-0.866,0.155128098,-0.474,0.7612860885,-0.089,0.9750332883,-0.663,0.1788821048
AAK1,10,-0.191,0.7678880819,-0.770,0.7850966547,-0.033,0.6766685115,-0.130,0.8815732434
AAMDC,10,-0.330,0.2641843024,-0.394,0.9349780706,-0.133,0.9267291462,-0.083,0.8192658997
AAMP,9,-2.353,0.0002172687,-2.794,0.0067637301,-2.376,0.0005227263,-1.941,0.0010553279
AANAT,9,-0.022,0.8340100254,-0.747,0.647907644,0.114,0.7751306879,-0.107,0.9955589765
AAR2,9,-0.516,0.4693611944,-0.234,0.8539594735,-0.265,0.5517496413,0.163,0.3567779543
AARD,10,-0.116,0.9948210434,0.245,0.2897965321,0.378,0.2596757615,0.359,0.1992387826
AARS,10,-2.346,0.0004864983,-2.924,0.0035088453,-2.777,0.0001037555,-1.890,0.0003109657
AARS2,9,-1.618,0.0616864801,-1.526,0.0121989793,-0.993,0.0104509677,-0.757,0.0203137964
AARSD1,9,-0.433,0.4324049222,-0.470,0.8631454577,-0.282,0.9132757396,-0.344,0.8535378957
AASDH,9,-0.213,0.4874171878,0.578,0.1433819595,-0.146,0.9957361334,0.356,0.4649189794
AASDHPPT,9,-1.754,0.0076495899,-0.763,0.1613339101,-1.420,0.026016513,-0.161,0.6629753583
AASS,10,0.174,0.3860814633,0.051,0.2409452267,0.263,0.4557810114,0.235,0.1616165257
AATF,10,-1.343,0.0060690001,-1.393,0.0434891057,-1.719,0.003438071,-1.380,0.0001976091
AATK,10,-0.239,0.8198075933,-0.460,0.375765046,-0.080,0.7341715886,-0.288,0.8990167785
ABAT,10,0.064,0.4075227245,-0.171,0.511945973,0.107,0.7398689072,0.011,0.7769713812
ABCA1,8,-0.212,0.7358576649,0.122,0.5476385887,0.044,0.9471461433,0.087,0.9204193503
ABCA10,9,0.029,0.588066511,0.475,0.093500366,0.218,0.769089978,0.456,0.0414770535
ABCA12,10,0.047,0.2908922897,0.023,0.9212569426,-0.056,0.9260480109,0.420,0.0615222445
ABCA13,10,-0.194,0.5177604718,-0.036,0.3388688501,-0.199,0.9166538128,0.026,0.9606126916
ABCA2,10,-0.028,0.7444905804,-0.346,0.8157015203,-0.049,0.2220343278,-0.018,0.9990904216
ABCA3,8,-0.681,0.4378010599,-0.189,0.6939737467,-0.390,0.9584448211,0.038,0.9674659438
ABCA4,10,-0.237,0.8051234291,0.107,0.3537454323,0.052,0.9654440451,0.044,0.6363009587
ABCA5,9,0.061,0.50983369,-0.086,0.4906301192,0.105,0.8328599558,0.131,0.9353501301
ABCA6,9,-0.206,0.2197377988,-0.140,0.7638474814,0.122,0.9408457093,0.143,0.459473194
ABCA7,10,-0.405,0.8242639162,-0.461,0.9085540006,-0.414,0.7680077114,-0.119,0.9823127609
ABCA8,9,-0.228,0.9479697429,-0.623,0.7691150278,-0.179,0.9284160269,-0.171,0.7136174409
ABCA9,10,-0.030,0.8584797826,0.064,0.6112717144,0.140,0.7318765974,0.149,0.597006468
ABCB1,10,0.002,0.8252566289,-0.237,0.6894583168,0.075,0.9710201507,0.007,0.9638316377
ABCB10,10,-0.321,0.7229927141,-0.313,0.8351314938,-0.730,0.111948864,-0.671,0.4113571389
ABCB11,10,0.083,0.6585361823,-0.437,0.1453334002,0.208,0.7749629542,0.034,0.7191954884
ABCB4,10,0.074,0.3843155721,-0.441,0.5790335117,0.013,0.897696761,-0.320,0.6370357073
ABCB5,10,0.322,0.0305947129,0.348,0.105593162,0.128,0.8998235822,0.018,0.3851315519
ABCB6,8,0.288,0.2069365338,0.304,0.431957822,-0.069,0.9946734572,0.114,0.7754274829
ABCB7,9,-1.775,0.050958117,-2.344,0.0030690212,-2.639,0.0003605195,-0.868,0.011101029
ABCB8,9,0.396,0.1293331719,0.284,0.2303589706,0.224,0.8569519297,0.315,0.4091006113
ABCB9,10,-0.673,0.4568212433,-0.701,0.2589820016,-0.227,0.7777360918,-0.468,0.9058699186
ABCC1,9,0.220,0.3538765964,-1.433,0.0117599616,-0.157,0.9909719195,0.334,0.2058156937
ABCC10,10,-0.049,0.7209439833,-0.587,0.1433839072,0.338,0.4044471556,-0.029,0.8278189909
ABCC11,10,-0.167,0.9091432476,-0.369,0.6988186948,-0.025,0.9571892061,-0.160,0.8538153497
ABCC12,10,0.120,0.4507803489,0.214,0.3505918321,0.546,0.1735859217,0.433,0.2367648978
ABCC2,9,-0.559,0.2038747597,-0.888,0.9031861179,-0.458,0.7543989779,-0.399,0.6669805235
ABCC3,9,-0.498,0.5713900946,-1.136,0.7289327103,-0.009,0.7048446854,-0.315,0.9863211923
ABCC4,10,0.141,0.1381263526,-0.046,0.6850172445,-0.024,0.9973317556,0.204,0.0956111558
ABCC5,10,0.164,0.5323796414,-0.037,0.8432846002,0.197,0.8128311162,0.300,0.4184002676
ABCC6,10,-0.549,0.0654720586,-0.511,0.4725680559,0.208,0.5195840373,0.072,0.7664439761
ABCC8,9,0.041,0.6533679785,0.036,0.7309188192,0.495,0.1467307686,0.175,0.7482097339
ABCC9,10,0.190,0.4025523774,-0.088,0.9888290756,0.221,0.8570909834,0.193,0.1251080892
ABCD1,9,0.225,0.2853343055,-0.176,0.7755996816,0.287,0.8214497367,-0.027,0.9832467102
ABCD2,10,-0.186,0.509386879,-0.379,0.5670840276,0.127,0.529888633,0.053,0.7787897985
ABCD3,9,-0.055,0.7720430031,0.105,0.4443635715,0.188,0.7137668046,-0.049,0.648246651
ABCD4,9,-0.433,0.2951573195,-1.236,0.0104987682,-0.524,0.4262849916,-0.435,0.8407718014
ABCE1,10,-1.686,0.0167220726,-3.276,0.0011140226,-2.151,0.1496926856,-2.664,0.0008659236
ABCF1,7,-1.523,0.1285291085,-2.483,0.0108744235,-2.233,0.2221949719,-1.305,0.0798062512
ABCF2,9,0.190,0.5892907366,-0.453,0.5142605245,-0.069,0.979291716,-0.324,0.4828483933
ABCF3,8,-0.210,0.9978916889,-0.037,0.9073776521,-0.247,0.9999813664,-0.185,0.9142921317
ABCG1,10,0.084,0.5590334981,-0.388,0.8739978668,0.257,0.4549043519,0.175,0.4973248021
ABCG2,9,-0.310,0.9487661646,-0.162,0.5147065942,-0.502,0.9606188309,-0.221,0.9617548828
ABCG4,9,0.073,0.7745321895,-0.040,0.5047625529,0.048,0.8205313699,-0.299,0.8993863615
ABCG5,10,-0.093,0.973973312,-0.359,0.9663405565,0.134,0.8126443768,-0.162,0.5181004039
ABCG8,10,-0.055,0.8742063161,-1.131,0.6115220107,0.130,0.8945832026,-0.476,0.6331633081
ABHD1,10,-0.036,0.8556295682,-0.370,0.9970660719,-0.515,0.2999671077,-0.183,0.9649627589
ABHD10,10,0.095,0.3677857298,0.234,0.375765046,0.290,0.2231760492,-0.026,0.9120674912
ABHD11,10,-2.185,8.37E-05,-1.182,0.0261221508,-0.832,0.0117965155,-0.081,0.8560442498
ABHD12,9,0.062,0.7418683244,-0.583,0.2642076904,0.051,0.9539265582,0.237,0.7335520334
ABHD12B,7,-0.035,0.5019942216,0.121,0.8448720896,0.252,0.7830147826,-0.454,0.5083501978
ABHD13,10,0.144,0.4711508065,0.352,0.1900211043,0.102,0.7978191486,0.265,0.3521472991
ABHD14A,8,-0.006,0.861268721,0.086,0.7633017469,0.286,0.1356430078,-0.094,0.9193044147
ABHD14B,10,-0.305,0.603152343,-0.705,0.5307643305,-0.130,0.8941845786,-0.107,0.8931163399
ABHD15,9,-0.015,0.7879874933,0.232,0.1041987564,0.108,0.7822305407,0.163,0.6565549951
ABHD16A,10,-0.818,0.522409505,-1.505,0.106036399,-0.250,0.9564811078,-0.177,0.8575235286
ABHD16B,10,-0.265,0.5813993067,-0.269,0.9128161874,-0.249,0.9221604914,-0.469,0.9355956604
ABHD17A,10,0.180,0.7499531517,0.330,0.0612748945,-0.076,0.9691724328,-0.009,0.7572648605
ABHD17B,10,0.255,0.3706245605,0.508,0.0175392472,0.245,0.3443698622,0.003,0.934922536
ABHD17C,8,-0.204,0.8500417009,0.346,0.4070895711,0.036,0.9205841599,0.093,0.5642771408
ABHD2,10,-0.655,0.2786844617,-0.556,0.7690715696,-0.169,0.8152958993,0.047,0.3238632674
ABHD3,9,-0.252,0.4747936874,-0.449,0.6563615145,0.052,0.7856084514,-0.325,0.8513861052
ABHD4,10,0.030,0.7350108593,-0.062,0.6712368743,-0.055,0.9938019003,-0.069,0.9999747007
ABHD5,10,-0.163,0.5789531918,-0.585,0.4833868106,-0.101,0.8765220232,-0.292,0.7330494388
ABHD6,9,0.147,0.270166865,0.157,0.2710538886,0.321,0.8164694423,-0.028,0.9769315263
ABHD8,9,-0.285,0.8735590859,-0.495,0.432883502,-0.264,0.9887848323,-0.905,0.3943645206
ABI1,10,0.150,0.5079764398,0.529,0.0902622124,0.209,0.5567674154,0.257,0.7111046005
ABI2,10,0.135,0.4294344305,0.397,0.184468825,-0.078,0.8397649492,0.084,0.4466660594
ABI3,9,-0.624,0.3202195454,-0.374,0.5103155828,-0.087,0.9624049604,-0.670,0.1894982359
ABI3BP,8,-0.119,0.7931052942,0.263,0.3178193508,0.184,0.7721469988,0.142,0.4695547905
ABL1,10,-4.261,3.40E-05,-5.218,2.69E-05,0.076,0.7510264438,-0.300,0.9249992607
ABL2,10,0.081,0.238978158,-0.295,0.9614650366,-0.115,0.7673601319,-0.059,0.9765669556
ABLIM1,10,-0.461,0.3183983672,-0.503,0.5607679257,-0.814,0.6766685115,-0.096,0.341695851
ABLIM2,9,-0.160,0.8515261592,0.409,0.0863268355,-0.034,0.9700099834,-0.362,0.9455242898
ABLIM3,10,-0.180,0.643062718,0.162,0.299042925,-0.290,0.9858708222,0.265,0.4410497008
ABR,9,-0.152,0.8251940191,0.246,0.6432138215,-0.079,0.9783475277,-0.283,0.8459683129
ABRA,10,-0.534,0.7749159452,-0.387,0.837711758,-0.257,0.8374331934,0.217,0.27261781
ABRACL,10,-0.071,0.9009883533,0.208,0.5069066318,-0.032,0.9240491133,0.200,0.5041849868
ABT1,8,-1.686,0.000569235,-1.662,0.0961975176,-1.720,0.0154133625,-1.567,0.0008084531
ABTB1,10,0.032,0.8842319603,-0.211,0.4666505025,-0.122,0.7171659849,-0.160,0.4058912061
ABTB2,10,0.163,0.3061521619,-0.624,0.3355001165,0.192,0.7138771553,0.068,0.8007370784
ACAA1,9,0.137,0.4636490668,-0.191,0.9172054567,0.090,0.8159644057,0.350,0.4365888636
ACAA2,10,0.209,0.4713010383,0.298,0.1631471667,0.389,0.3371273953,0.260,0.3518586645
ACACA,10,-0.848,0.1233671435,-0.244,0.9387714335,-0.028,0.9800042847,-0.680,0.3756210002
ACACB,7,-0.040,0.9355276137,-0.247,0.9523867316,0.254,0.5051288912,0.153,0.5132623901
ACAD10,10,-0.528,0.4928789553,-0.604,0.3355978945,0.023,0.6388166949,0.079,0.7990872984
ACAD11,8,0.039,0.649866567,0.274,0.394026309,0.036,0.9153400892,0.095,0.8055403292
ACAD8,9,-0.578,0.4256036607,-1.117,0.8410568278,-0.593,0.9987868647,-0.656,0.8420508346
ACAD9,9,-0.760,0.0081477223,-0.065,0.8584144079,-0.522,0.273875308,-0.655,0.0309826574
ACADL,10,-0.163,0.724839498,-0.281,0.7163225636,-0.058,0.8183675037,-0.019,0.4269770321
ACADM,9,-0.130,0.843987166,-0.130,0.4875606605,0.115,0.6216048064,0.106,0.6712675726
ACADS,10,-0.078,0.9597663044,-0.481,0.5533142145,0.130,0.9228333843,-0.020,0.789856636
ACADSB,10,-0.004,0.9390226038,0.093,0.8058310383,-0.063,0.9747233778,0.259,0.7795616655
ACADVL,10,-0.528,0.1797188775,-0.079,0.3987561074,-0.299,0.5122063136,-0.417,0.5494660682
ACAN,8,-0.449,0.2223214995,-0.068,0.7882582635,-0.157,0.9987868647,-0.324,0.3661715192
ACAP1,10,-0.354,0.3677857298,-0.544,0.7198552143,0.140,0.6173987039,0.043,0.4418230123
ACAP2,8,0.147,0.7158475332,-0.439,0.8680699985,0.071,0.3227409388,-0.169,0.9411254019
ACAP3,9,-0.152,0.9070827335,-0.337,0.5960872246,0.173,0.6545448731,-0.249,0.9656913373
ACAT1,9,0.257,0.2366015212,-0.215,0.6239079871,-0.117,0.7723629151,-0.222,0.6392378152
ACAT2,9,0.098,0.50983369,-0.196,0.9438474771,-0.205,0.6133856886,-0.151,0.9303176629
ACBD3,10,-0.499,0.6875962085,-0.871,0.4279900058,-0.246,0.9638350173,-0.368,0.9240556685
ACBD4,10,-1.009,0.0366540453,-1.629,0.0202112648,-0.589,0.0583124805,-0.952,0.2067879214
ACBD5,9,-0.093,0.8520568219,-0.135,0.5683232134,0.328,0.0900313879,-0.175,0.6363009587
ACBD6,9,0.261,0.1208418967,0.006,0.5874086558,0.072,0.7639010689,0.034,0.9308848321
ACBD7,9,0.326,0.1062724813,0.204,0.5157959588,0.317,0.5546461976,0.484,0.0556252184
ACCS,9,-0.369,0.4584731018,-0.419,0.6017490392,0.247,0.7673601319,-0.458,0.7647244
ACCSL,10,0.124,0.4600709072,-0.418,0.9364720612,-0.006,0.9554786507,-0.154,0.6424005889
ACD,9,-0.551,0.7561905188,-1.570,0.0798073405,-0.451,0.7529021629,-0.973,0.4360475242
ACE,9,-0.200,0.6434894195,-0.468,0.3103555975,-0.135,0.9663106208,-0.095,0.9898641366
ACE2,8,0.236,0.4760045185,0.392,0.2457926061,0.006,0.912521947,0.626,0.0304814829
ACER1,9,0.034,0.4309503026,-0.348,0.7301895237,-0.034,0.9718605605,-0.426,0.4387512789
ACER2,9,0.086,0.7229199009,0.362,0.0855363531,-0.225,0.8533905032,0.422,0.1762690631
ACER3,10,-0.119,0.897765151,-0.219,0.7298425601,0.144,0.4317762175,0.023,0.8717161966
ACHE,10,-0.189,0.5305981055,-0.423,0.5570370264,0.119,0.909165165,-0.167,0.6787816659
ACIN1,8,-1.729,0.0009067353,-1.471,0.0176082166,-1.633,0.0021899993,-1.275,0.0130656684
ACKR2,10,-0.066,0.9828369311,-0.026,0.8822697157,0.298,0.5322294782,0.008,0.9813846556
ACKR3,9,0.145,0.3382443448,0.179,0.4611959868,-0.006,0.9014852919,-0.094,0.8103026693
ACKR4,9,0.163,0.7380376156,0.201,0.6815434002,0.043,0.9042783733,-0.367,0.7638333006
ACLY,10,-1.914,0.0002407033,-1.196,0.0495593988,-1.090,0.009668805,-1.979,0.0008159281
ACMSD,9,-0.264,0.9696123158,-0.164,0.9804348687,0.021,0.8941113736,-0.074,0.9999747007
ACN9,10,0.348,0.0665786451,0.306,0.4616665151,-0.033,0.6286534619,0.161,0.3745860393
ACO1,10,-0.020,0.2197377988,-0.238,0.5332010895,-0.042,0.7501451537,0.063,0.4149880289
ACO2,9,-3.000,5.51E-05,-2.346,0.0011546059,-1.525,0.0007604944,-1.431,0.0001829372
ACOT1,10,0.411,0.0778584457,0.352,0.1032939339,-0.018,0.9999813664,-0.029,0.8550997746
ACOT11,10,-0.212,0.3593323024,-0.434,0.4123108252,-0.224,0.8629167378,-0.324,0.3690463773
ACOT12,10,0.171,0.3538765964,-0.185,0.9509333967,0.066,0.7510264438,0.069,0.8065634089
ACOT13,9,0.332,0.1181357985,0.449,0.1513024342,0.308,0.5454394558,0.365,0.387670876
ACOT2,10,-0.155,0.9202474281,-0.810,0.9936194807,0.178,0.7038858561,-0.055,0.9802717791
ACOT4,9,0.204,0.3086998005,-0.197,0.3042457192,0.132,0.4176260083,-0.027,0.5334286657
ACOT6,10,0.121,0.2648407679,0.091,0.6701129133,-0.117,0.9726951334,-0.012,0.446058909
ACOT7,9,-0.076,0.9553712279,-0.407,0.8564651723,-0.499,0.0643761104,-0.535,0.3232185786
ACOT8,10,-0.425,0.8279839896,-0.074,0.8841641592,-0.164,0.9663147867,-0.280,0.8384365337
ACOT9,7,0.529,0.0778324685,0.278,0.3690842868,-0.009,0.9955930432,0.169,0.6651461572
ACOX1,9,0.222,0.4796815959,0.194,0.4922387566,-0.103,0.8928739339,0.459,0.3544311018
ACOX2,10,-0.502,0.4998176976,-0.009,0.859494617,0.127,0.7463072979,0.338,0.3127636748
ACOX3,9,-0.021,0.7984941936,-0.404,0.6458620669,0.126,0.7412028432,0.386,0.3487075479
ACOXL,10,0.026,0.9091432476,-0.407,0.5188130147,0.201,0.522941579,0.056,0.7383097713
ACP1,10,0.269,0.1921927882,0.376,0.0826250873,0.142,0.8218418869,0.198,0.6720992647
ACP2,9,-0.049,0.8640965327,-0.251,0.661088343,0.327,0.3037126413,-0.169,0.5185401842
ACP5,7,-0.228,0.9993900651,-0.731,0.4512129148,-0.573,0.3979170045,-0.405,0.575868048
ACP6,10,0.070,0.5507402738,-0.227,0.9822331913,-0.308,0.7318765974,0.110,0.6165145418
ACPL2,8,0.195,0.5177604718,-0.319,0.6624464527,0.004,0.9663147867,0.184,0.6996911819
ACPP,10,-0.305,0.9993900651,-0.332,0.6175645274,-0.512,0.5635976258,0.028,0.66210445
ACPT,8,-0.160,0.599889399,-0.247,0.7906332179,0.134,0.7580069738,-0.063,0.4882504725
ACR,10,-0.457,0.295330675,-0.369,0.7386956359,0.100,0.9288019796,0.025,0.9793283799
ACRBP,10,-1.052,0.3365045062,-1.379,0.2592409241,-0.596,0.8458424935,-0.861,0.5664324482
ACRC,8,0.063,0.5982609377,0.266,0.4170490692,0.384,0.047208373,0.390,0.2956670399
ACRV1,9,0.678,0.0005308015,0.738,0.0007726181,0.426,0.0210711671,0.526,0.0306356835
ACSBG1,8,-0.910,0.0655440711,-0.481,0.9305415172,0.180,0.9375950847,0.110,0.8068820041
ACSBG2,10,0.337,0.0868368802,0.224,0.3784697414,0.159,0.9347472342,0.042,0.9453300241
ACSF2,10,-0.440,0.7757648603,-1.443,0.5319326735,-0.142,0.5852839571,-0.591,0.9820852852
ACSF3,9,-0.068,0.90092644,-0.519,0.6448871395,0.272,0.3948083355,-0.177,0.9224660901
ACSL1,10,0.298,0.0635606605,0.135,0.6177592192,0.016,0.9228333843,-1.759,0.0007737179
ACSL3,9,0.313,0.0416442479,-0.460,0.8228285675,-0.323,0.9999813664,0.198,0.5170376847
ACSL4,10,-0.039,0.9048895536,0.066,0.5032030984,-0.222,0.801768315,0.828,0.0008548836
ACSL5,9,0.298,0.0594101533,0.284,0.3993435833,0.424,0.1760994327,0.475,0.1691387289
ACSL6,9,-0.255,0.952088328,-0.681,0.5042676898,0.252,0.185412977,-0.022,0.9848559014
ACSM1,9,0.054,0.8505810905,-0.445,0.1847333781,-0.025,0.9718605605,0.093,0.4848159909
ACSM2A,10,0.166,0.4151634206,0.106,0.2377733822,0.299,0.5122063136,0.043,0.8424209457
ACSM2B,9,0.224,0.1347280708,0.601,0.0290631005,0.283,0.5866542381,0.586,0.0065094233
ACSM3,8,-0.460,0.9601698136,-0.446,0.7412393701,0.031,0.5980242712,0.100,0.7822707784
ACSM4,10,-0.346,0.6986005742,-0.240,0.9002117185,0.061,0.7988675325,0.128,0.803382453
ACSM5,8,0.119,0.4577143121,-0.300,0.8655994618,-0.091,0.9887848323,0.050,0.8779884691
ACSS1,10,0.160,0.4558446042,-0.292,0.318887595,0.110,0.7958924399,0.006,0.7584106239
ACSS2,10,-0.101,0.9663410477,-0.080,0.9686573025,0.387,0.2201675267,-0.166,0.9432665451
ACSS3,10,0.142,0.5323796414,0.111,0.5135266353,0.156,0.4652203867,0.163,0.2097566702
ACTA1,8,0.001,0.7956229831,-0.049,0.8150088541,-0.016,0.9956632525,-0.134,0.9421430679
ACTA2,10,-0.390,0.4738460988,-0.643,0.9956660693,0.072,0.8105253891,0.123,0.6741349289
ACTB,10,-1.648,0.0002738336,0.010,0.6211441849,-0.379,0.3426421775,-1.302,0.0188357234
ACTBL2,10,0.171,0.3500828708,-0.273,0.9450427091,-0.032,0.9044554956,-0.163,0.9355268088
ACTC1,10,0.044,0.5027858198,-0.216,0.7240493633,-0.217,0.8928739339,-0.348,0.7600986425
ACTG1,10,-0.968,0.0785488262,-1.102,0.2277070199,-0.466,0.4458537566,-0.883,0.2309133341
ACTG2,9,-1.669,0.00812239,-2.114,0.091745457,-1.320,0.3982468549,-1.285,0.3106860868
ACTL10,10,-0.330,0.3262900535,-0.119,0.9321612167,-0.322,0.9522655068,-0.031,0.9563148181
ACTL6A,9,-1.793,0.0021719434,-2.944,0.0474676948,-2.739,0.0007686878,-1.857,0.0004278648
ACTL6B,9,-0.143,0.970331761,-0.434,0.7956830141,0.393,0.1483420996,0.248,0.7330494388
ACTL7A,9,-0.037,0.8192716779,-0.123,0.8426769388,-0.238,0.9551601394,-0.132,0.9955170407
ACTL7B,9,-0.278,0.9898047049,-0.664,0.8956469216,-0.265,0.4405702906,-0.318,0.9412143549
ACTL8,9,0.217,0.1090486307,0.017,0.7691987518,0.360,0.6595164047,-0.181,0.9999747007
ACTL9,10,-0.069,0.7810410507,-0.718,0.6158021188,-0.062,0.7203684466,-0.336,0.3662789335
ACTN1,9,-0.196,0.7895161626,-0.088,0.686424872,0.137,0.5852839571,-0.237,0.4958374011
ACTN2,10,-0.001,0.9486844578,-0.030,0.7835572816,-0.107,0.9984412016,-0.147,0.5887664088
ACTN4,10,-0.021,0.3985159073,-0.765,0.6017490392,-0.355,0.6147764484,-0.685,0.6894909235
ACTR10,8,-1.341,0.0637103757,-2.899,0.0080956085,-1.677,0.0089510553,-0.741,0.0810559313
ACTR1A,10,-0.945,0.0043242057,-1.181,0.1326094761,-1.085,0.0014802026,0.089,0.4743288596
ACTR1B,10,-0.592,0.76352446,-1.574,0.2823505017,-0.189,0.9700645456,-0.471,0.8278189909
ACTR2,10,-0.956,0.009311513,-0.709,0.3816597246,-0.610,0.2247596011,-1.861,0.0001495873
ACTR3,9,-1.090,0.0106174845,-0.596,0.6004066433,-0.389,0.6764019619,-0.833,0.179391726
ACTR3B,9,0.071,0.6647480246,-0.401,0.9714556402,0.152,0.7439121191,0.128,0.8007370784
ACTR3C,10,-0.153,0.4170436525,-0.203,0.9387714335,0.017,0.9305178335,-0.043,0.9224660901
ACTR5,8,-1.732,0.0134969222,-0.819,0.7016365677,-0.366,0.9567979895,-0.261,0.898932584
ACTR6,9,-1.055,0.1062724813,-1.072,0.029035922,-0.917,0.0470611953,-0.624,0.657060309
ACTR8,9,-1.956,0.0005678146,-1.923,0.0164455961,-1.686,0.0117820868,-1.970,0.0070522495
ACTRT1,9,-0.088,0.677933573,-0.054,0.3507918843,-0.481,0.4176767223,-0.296,0.4700807436
ACTRT2,7,0.195,0.3339739779,0.018,0.7819830181,0.243,0.4313494206,0.280,0.3632924515
ACTRT3,10,-0.065,0.947900246,0.473,0.0956429129,-0.326,0.3214049585,0.167,0.670542296
ACVR1,9,-0.320,0.7558786494,-0.948,0.625179256,-0.164,0.9980702928,0.159,0.9077305619
ACVR1B,10,-0.167,0.8463291652,-0.560,0.4666505025,-0.059,0.6672749609,0.004,0.7530988255
ACVR1C,9,0.072,0.5301411662,-0.035,0.5407074686,0.181,0.4033244589,0.194,0.2530044617
ACVR2A,9,0.089,0.5646202261,0.564,0.113071645,-0.034,0.9619975671,0.296,0.5157088748
ACVR2B,10,-0.362,0.9376813554,-1.205,0.5348668921,-0.496,0.9044554956,-0.690,0.6313247326
ACVRL1,8,-0.243,0.9430852192,-0.561,0.7281171412,0.015,0.9139961217,-0.202,0.8863256029
ACY1,10,-0.141,0.9770858973,-0.479,0.8533400272,-0.240,0.9012060459,-0.097,0.9488605429
ACY3,9,0.197,0.7382530726,-0.369,0.4221859982,0.191,0.8676355278,0.071,0.7057590662
ACYP1,10,0.167,0.1099832155,0.290,0.1931963483,0.172,0.6350147913,0.206,0.7813856121
ACYP2,10,0.154,0.2337957191,0.255,0.1856865766,0.115,0.7941411386,-0.060,0.8899865788
ADA,8,0.015,0.728375718,-0.146,0.7550136756,0.071,0.8424638473,0.202,0.2991528703
ADAD1,10,0.010,0.7656280656,-0.164,0.4807581689,-0.079,0.9524021389,0.055,0.2097566702
ADAD2,9,-0.277,0.6531659511,-0.795,0.3690842868,-0.275,0.7404107379,-0.566,0.3378628417
ADAL,10,0.013,0.8281046181,-0.179,0.9369128068,0.172,0.5426535922,0.381,0.1494862192
ADAM10,10,-0.124,0.8194872904,-0.454,0.994967661,-0.153,0.9940406752,-0.216,0.9855587319
ADAM11,10,-0.345,0.7767041306,-0.392,0.4594636696,-0.126,0.7891237705,-0.087,0.8007370784
ADAM12,9,0.082,0.5660870397,-0.185,0.7458325246,-0.024,0.9955930432,0.009,0.7633394275
ADAM15,10,-0.639,0.5683660064,-0.538,0.8336950956,-0.669,0.7706521556,-0.520,0.7325032998
ADAM17,8,0.069,0.7158987663,-0.004,0.5030704449,0.067,0.691580229,-0.156,0.5072824367
ADAM18,9,-0.024,0.7847957886,0.095,0.0621101356,-0.143,0.8183807956,0.174,0.1877528208
ADAM19,10,-0.121,0.9293661837,-0.328,0.9988464176,-0.055,0.9255138206,0.061,0.7685876785
ADAM2,9,0.235,0.2126365106,0.055,0.6347866829,0.088,0.75679147,0.212,0.1846452483
ADAM20,9,0.172,0.3511393713,0.017,0.5093936516,-0.144,0.9584448211,-0.037,0.9638316377
ADAM21,10,0.323,0.1151755507,0.439,0.2181647173,0.057,0.9415319861,-0.065,0.789856636
ADAM22,10,0.085,0.0340088315,-0.386,0.7064584111,0.261,0.3306879362,0.091,0.644483155
ADAM23,10,-0.258,0.6814965144,0.109,0.2059541639,0.174,0.8457639991,0.085,0.8746262138
ADAM28,9,-0.139,0.9683225102,0.231,0.3895959065,0.145,0.52308273,0.412,0.3296147002
ADAM29,10,0.412,0.0862302511,0.281,0.2281208122,-0.017,0.9904924993,0.152,0.0882321268
ADAM30,10,0.037,0.6690122637,-0.606,0.183512018,0.019,0.8233408797,-0.138,0.793091439
ADAM32,10,0.199,0.2184273667,0.103,0.4340589081,-0.097,0.8875300272,0.281,0.1019023166
ADAM33,10,-0.817,0.8646160339,-0.923,0.6490857972,-0.418,0.8879362203,-0.465,0.9740239375
ADAM7,10,-0.162,0.6486876516,0.522,0.0632431647,0.446,0.2343340699,0.376,0.1062745592
ADAM8,10,0.036,0.8999631391,-0.429,0.9104646811,-0.308,0.5604731202,0.214,0.8165757191
